Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre_new;Gross_sales/ Bruttoumsatz;Publisher_Revenue;Publisher;Verfilmt
2011;State of Wonder;Ann Patchett;eng;Intermediate;3,85;124.837;Literary Fiction;1.210,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2008;The Silver Linings Playbook;Matthew Quick;en-US;Intermediate;4;110.939;Literary Fiction;594,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1869;Vingt Mille Lieues Sous les Mers;Jules Verne, Anthony Bonner;eng;Intermediate;3,86;121.112;Science Fiction;3.540,25 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2005;The Constant Princess;Philippa Gregory;en-US;Intermediate;3,88;124.786;Historical Fiction;3.564,05 Ä;2.138,43 Ä;Penguin;Ja
1925;Mrs Dalloway;Virginia Woolf, Maureen Howard;en-US;Intermediate;3,78;136.327;Literary Fiction;1.174,10 Ä;704,46 Ä;Amazon Digital Services,  Inc,;Ja
2009;The 100-Year-old Man;Jonas Jonasson, Rod Bradbury;en-GB;Intermediate;3,81;296.113;Fiction Humor;5.200,65 Ä;3.120,39 Ä;Macmillan;Ja
1998;Bag of Bones;Stephen King;en-US;Intermediate;3,87;131.004;Literary Fiction (Humor);569,25 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1985;The Cider House Rules;John Irving;eng;Intermediate;4,1;124.876;Mystery / Thriller;1.134,30 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1984;Thinner;Richard Bachman, Stephen King;en-GB;Intermediate;3,66;130.219;Literary Fiction;1.659,45 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1872;Le tour du monde en quatre-vingts jours;Jules Verne, Michael Glencross, Brian W, Aldiss;eng;Intermediate;3,9;117.108;Mystery / Thriller;4.434,45 Ä;2.660,67 Ä;Penguin;Ja
1994;Walk Two Moons;Sharon Creech;eng;Intermediate;3,95;129.350;Science Fiction;544,50 Ä;326,70 Ä;Amazon Digital Services,  Inc,;Nein
2003;Onze minutos;Paulo Coelho, Margaret Jull Costa;eng;Intermediate;3,69;102.206;Literary Fiction;534,60 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1953;Nine Stories;J,D, Salinger;eng;Intermediate;4,19;105.138;Classic (Short Stories);2.154,60 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2005;Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen;Julie Powell;eng;Intermediate;3,67;121.373;Non-Fiction (Memoir);1.599,65 Ä;959,79 Ä;Random;Nein
2007;Unwind;Neal Shusterman;eng;Intermediate;4,18;143.892;Young Adult;524,70 Ä;314,82 Ä;Macmillan;Nein
1996;Drums of Autumn (Outlander, #4);Diana Gabaldon;eng;Intermediate;4,34;123.736;Historical Fiction;1.024,85 Ä;614,91 Ä;Amazon Digital Services,  Inc,;Nein
2013;Prodigy;Marie Lu;eng;Intermediate;4,29;149.702;Young Adult;1.524,90 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1603;The Tragedie of King Lear;William Shakespeare;eng;Intermediate;3,89;135.448;Classic (Drama);2.014,95 Ä;1.208,97 Ä;Amazon Digital Services,  Inc,;Ja
1949;Death of a Salesman;Arthur Miller;eng;Novice;3,49;132.061;Classic (Drama);5.433,18 Ä;3.259.908,00 Ä;Penguin;Ja
2007;The Choice;Nicholas Sparks;en-US;Intermediate;3,99;93.479;Romance;1.483,04 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2012;The Hunger Games: Official Illustrated Movie Companion;Kate Egan;en-US;Famous;4,51;119.915;Dystopia Young Adult;2.950,91 Ä;1.770.546,00 Ä;Harper;ja
1929;The Sound and the Fury;William Faulkner;eng;Intermediate;3,86;124.665;Literary Fiction;2.445,10 Ä;1.467,06 Ä;Hachette;Nein
2005;A New Earth: Awakening to Your Life's Purpose;Eckhart Tolle;eng;Intermediate;4,02;106.211;Non-Fiction (Spirituality);483,12 Ä;289.872,00 Ä;Amazon Digital Services,  Inc,;Nein
2002;Blech;Tite Kubo;eng;Intermediate;4,21;120.004;fiction fantasy;2.605,92 Ä;1.563.552,00 Ä;Penguin;Ja
2013;Hyperbole and a Half;Allie Brosh;eng;Intermediate;4,17;118.910;Nonfiction humor;5.269,53 Ä;3.161.718,00 Ä;Penguin;Nein
1992;The Shadow Rising ;Robert Jordan;en-US;Intermediate;4,21;122.524;Fantasy;2.057,58 Ä;1.234.548,00 Ä;Harper;Ja
2003;Shantaram;Gregory David Roberts;eng;Intermediate;4,26;95.213;Memoir;476,19 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2008;From Dead to Worse;Charlaine Harris;eng;Intermediate;4,01;151.095;Thriller;475,20 Ä;285,12 Ä;Amazon Digital Services,  Inc,;Nein
1991;The Waste Lands;Stephen King, Ned Dameron;eng;Intermediate;4,24;117.483;Horror;1.429,22 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1997;The Bone Collector;Jeffery Deaver;en-US;Intermediate;4,18;120.541;Thriller;5.253,22 Ä;3.151.932,00 Ä;Random;Ja
1995;Der Vorleser;Bernhard Schlink, Carol Brown Janeway;eng;Intermediate;3,73;119.911;Literary Fiction;1.423,24 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1967;Brown Bear, Brown Bear, What Do You See?;Bill Martin Jr,, Eric Carle;eng;Intermediate;4,19;125.668;Childrenís Picture Book;2.375,24 Ä;1.425.144,00 Ä;Hachette;Nein
1989;Hyperion;Dan Simmons;eng;Intermediate;4,21;122.225;Science Fiction;470,25 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1947;The Pearl of the World;John Steinbeck;eng;Novice;3,41;133.264;Literary Fiction;470,25 Ä;282,15 Ä;Amazon Digital Services,  Inc,;Nein
1971;The Exorcist;William Peter Blatty;en-US;Intermediate;4,14;124.467;Horror;1.399,32 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2009;The Short Second Life of Bree Tanner;Stephenie Meyer;eng;Intermediate;3,51;145.874;Young Adult;461,34 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1994;Snow Falling on Cedars;David Guterson;eng;Intermediate;3,8;131.945;Literary Fiction;1.393,34 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1976;Roots;Alex Haley;en-US;Famous;4,42;118.951;Memoir;460,35 Ä;276,21 Ä;Macmillan;Ja
1988;Batman: The Killing Joke ;Alan Moore, Brian Bolland, Tim Sale;eng;Intermediate;4,36;113.855;Childrenís Chapter Book;455,40 Ä;273,24 Ä;Random;Ja
1952;Invisible Man;Ralph Ellison;eng;Intermediate;3,84;123.073;Short Story;455,40 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2007;A Long Way Gone, Memoirs of a Boy Soldier;Ishmael Beah;en-US;Intermediate;4,14;116.260;Childrenís Chapter Book;3.643,44 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1971;Mrs, Frisby and the Rats of NIMH;Robert C, O'Brien;en;Intermediate;4,13;135.978;Contemporary Fiction;1.815,45 Ä;1.089,27 Ä;Amazon Digital Services,  Inc,;Ja
1982;Different Seasons;Stephen King;eng;Intermediate;4,34;105.961;Science Fiction;5.000,45 Ä;3.000,27 Ä;Simon and Schuster Digital Sales Inc;Ja
1953;The Little House Collection;Laura Ingalls Wilder, Garth Williams;en;Intermediate;4,33;124.320;Satire ;5.195,91 Ä;3.117.546,00 Ä;Random;JA
1998;The Girls' Guide to Hunting and Fishing;Melissa Bank;en;Novice;3,29;113.977;Non-Fiction;448,47 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2012;Wool Omnibus;Hugh Howey;eng;Intermediate;4,24;81.982;Memoir;2.250,49 Ä;1.350.294,00 Ä;Penguin;Ja
2002;Lamb: The Gospel According to Biff, Christ's Childhood Pal;Christopher Moore;en-US;Intermediate;4,26;118.576;Fantasy;4.792,50 Ä;2.875,50 Ä;Random;Nein
1997;The Power of Now;Eckhart Tolle;eng;Intermediate;4,1;104.549;Fantasy;4.771,20 Ä;2.862,72 Ä;Penguin;Nein
2012;Let's Pretend This Never Happened (A Mostly True Memoir);Jenny  Lawson;eng;Intermediate;3,9;118.475;Thriller;443,52 Ä;266.112,00 Ä;Amazon Digital Services,  Inc,;Nein
2006;The Lies of Locke Lamora;Scott Lynch;eng;Intermediate;4,3;118.751;Contemporary Fiction;1.324,57 Ä;794.742,00 Ä;Simon and Schuster Digital Sales Inc;Ja
1995;Sabriel;Garth Nix;en-US;Intermediate;4,17;137.047;Fantasy  ;8.811,18 Ä;5.286.708,00 Ä;Random;JA
2009;Dead and Gone;Charlaine Harris;eng;Intermediate;4,01;145.157;Mystery/Thriller  ;2.175,64 Ä;1.305.384,00 Ä;Random;Nein
2013;The Storyteller;Jodi Picoult;eng;Intermediate;4,26;109.313;Literary Fiction  ;430,65 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2011;Obsidian;Jennifer L, Armentrout;eng;Intermediate;4,23;164.832;Young Adult (Fantasy/Romance)  ;5.191,67 Ä;3.115.002,00 Ä;Penguin;Nein
1982;Life, the Universe and Everything;Douglas Adams;eng;Intermediate;4,19;131.562;Science Fiction  ;2.593,67 Ä;1.556.202,00 Ä;Hachette;JA
2013;Crown of Midnight;Sarah J, Maas;en-CA;Famous;4,49;160.485;Young Adult (Fantasy)  ;426,69 Ä;256.014,00 Ä;Amazon Digital Services,  Inc,;Nein
2004;Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life;Bryan Lee O'Malley;eng;Intermediate;4,18;126.864;Graphic Novel/Comic  ;425,70 Ä;255,42 Ä;Random;Ja
2008;Half Broke Horses: A True Life Novel;Jeannette Walls;eng;Intermediate;4,05;110.597;Memoir/Biography  ;5.107,74 Ä;3.064.644,00 Ä;Penguin;Nein
1987;Mort;Terry Pratchett;eng;Intermediate;4,22;128.450;Fantasy/Humor  ;3.821,22 Ä;2.292.732,00 Ä;Amazon Digital Services,  Inc,;Ja
2010;The Iron King (The Iron Fey, #1) ;Julie Kagawa;eng;Intermediate;3,92;158.063;Young Adult (Fantasy)  ;420,75 Ä;252,45 Ä;Macmillan;Nein
1985;Lonesome Dove;Larry McMurtry;en-US;Famous;4,47;111.498;Western  ;1.687,77 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2003;Stiff: The Curious Lives of Human Cadavers;Mary Roach;eng;Intermediate;4,05;122.502;Non-Fiction (Science)  ;4.473,00 Ä;2.683,80 Ä;Random;Nein
2011;Bloodlines;Richelle Mead;en-US;Intermediate;4,22;140.599;Young Adult (Fantasy)  ;413,82 Ä;248.292,00 Ä;Macmillan;Nein
1998;Ender's Shadow;Orson Scott Card;eng;Intermediate;4,3;115.521;Science Fiction  ;411,84 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2009;Twenties Girl;Sophie Kinsella;eng;Intermediate;3,82;119.105;Contemporary Romance  ;2.070,85 Ä;1.242,51 Ä;Random;Nein
1982;Schindler's Ark;Thomas Keneally;eng;Intermediate;4,34;108.338;Historical Fiction  ;2.537,90 Ä;1.522,74 Ä;Amazon Digital Services,  Inc,;Ja
1970;The Bluest Eye;Toni Morrison;eng;Intermediate;3,99;109.944;Literary Fiction  ;1.219,92 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2009;The White Queen;Philippa Gregory;eng;Intermediate;3,9;119.739;Historical Fiction  ;1.685,04 Ä;1.011.024,00 Ä;Amazon Digital Services,  Inc,;Ja
1965;The Autobiography of Malcolm X;Malcolm X, Alex Haley;eng;Intermediate;4,29;124.805;Memoir/Biography  ;2.025,94 Ä;1.215.564,00 Ä;Random;Ja
1989;Preludes & Nocturnes;Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger;eng;Intermediate;4,3;122.540;Graphic Novel/Fantasy  ;2.251,80 Ä;1.351,08 Ä;Amazon Digital Services,  Inc,;Nein
1999;Seabiscuit;Laura Hillenbrand;en-US;Intermediate;4,2;111.497;Non-Fiction (Biography/Sports)  ;1.007,50 Ä;604,50 Ä;Harper;Ja
2003;Shutter Island;Dennis Lehane;eng;Intermediate;4,07;113.718;Mystery/Thriller  ;4.270,65 Ä;2.562,39 Ä;Penguin;Ja
1894;The Complete Sherlock Holmes;Arthur Conan Doyle;eng;Famous;4,5;109.754;Mystery/Detective  ;3.180,02 Ä;1.908.012,00 Ä;Penguin;Ja
1599;The Tragedy of Julius Caesar;William Shakespeare, Roma Gill;eng;Intermediate;3,65;119.933;Classic Drama  ;392,04 Ä;235.224,00 Ä;Amazon Digital Services,  Inc,;Ja
2011;In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin;Erik Larson;eng;Intermediate;3,81;110.481;Historical Non-Fiction  ;392,04 Ä;235.224,00 Ä;Amazon Digital Services,  Inc,;Nein
1593;The Taming of the Shrew;William Shakespeare;en-US;Intermediate;3,81;126.318;Classic Drama  ;2.726,10 Ä;1.635,66 Ä;Hachette;Ja
2014;Cress;Marissa Meyer;eng;Famous;4,46;162.069;Young Adult (Fantasy/Science Fiction)  ;1.154,14 Ä;692.484,00 Ä;Macmillan;Nein
2010;Just Kids;Patti Smith;en-US;Intermediate;4,14;106.542;Memoir/Biography  ;766,15 Ä;459,69 Ä;Random;Nein
1997;The art Book;Phaidon Press;eng;Intermediate;3,79;102.746;Art;3.060,17 Ä;1.836.102,00 Ä;Penguin;nein
2001;Jemima J;Jane Green;en-US;Intermediate;3,62;101.436;Contemporary Fiction;758,19 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1831;Notre-Dame de Paris;Victor Hugo, Walter J, Cobb;eng;Intermediate;3,97;119.851;Classic Literature;3.013,71 Ä;1.808.226,00 Ä;Amazon Digital Services,  Inc,;Ja
1996;A Fine Balance;Rohinton Mistry;eng;Intermediate;4,34;99.252;Literary Fiction;1.136,20 Ä;681,72 Ä;Simon and Schuster Digital Sales Inc;Nein
1987;Calvin and Hobbes;Bill Watterson, G,B, Trudeau;en-US;Famous;4,61;117.788;Comic / Graphic Novel;1.886,22 Ä;1.131.732,00 Ä;Penguin;Nein
2006;Specials;Scott Westerfeld;eng;Intermediate;3,77;139.168;Young Adult (Science Fiction);1.124,24 Ä;674.544,00 Ä;Amazon Digital Services,  Inc,;Nein
1899;The Awakening;Kate Chopin;eng;Intermediate;3,63;125.474;Classic Literature;371,25 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2009;Hunted;P,C, Cast, Kristin Cast;eng;Intermediate;3,93;138.103;Young Adult (Paranormal Romance);1.871,25 Ä;1.122,75 Ä;Random;Nein
2006;For One More Day;Mitch Albom;en-US;Intermediate;4,09;102.193;Contemporary Fiction;1.488,27 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1989;Clear and Present Danger;Tom Clancy;eng;Intermediate;4,08;105.317;Thriller;1.115,27 Ä;669.162,00 Ä;Hachette;Ja
1996;Falling Up;Shel Silverstein;en-US;Intermediate;4,33;111.779;Childrenís Poetry;366,30 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2010;Sh*t My Dad Says;Justin Halpern;en;Intermediate;3,98;102.560;Humor / Memoir;2.775,00 Ä;1.665,00 Ä;Hachette;Ja
1993;Trainspotting;Irvine Welsh, Eric Lindor Fall;fre;Intermediate;4,07;59.453;Contemporary Fiction;1.100,32 Ä;660.192,00 Ä;Random;Ja
1952;Foundation and Empire;Isaac Asimov;eng;Intermediate;4,2;105.595;Science Fiction;1.094,34 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1997;The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book;Miguel Ruiz;en;Intermediate;4,12;97.016; Spirituality;4.388,34 Ä;2.633.004,00 Ä;Penguin;Nein
2010;House Rules;Jodi Picoult;en-US;Intermediate;4,01;111.239;Contemporary Fiction;4.084,35 Ä;2.450,61 Ä;Harper;Nein
1967;From the Mixed-Up Files of Mrs, Basil E, Frankweiler;E,L, Konigsburg;eng;Intermediate;4,15;134.537;Childrenís Literature;1.085,37 Ä;651.222,00 Ä;Amazon Digital Services,  Inc,;Nein
2013;Doctor Sleep;Stephen King;eng;Intermediate;4,1;95.276;Horror / Thriller;357,39 Ä;214.434,00 Ä;Amazon Digital Services,  Inc,;Ja
1998;About a Boy;Nick Hornby;en-US;Intermediate;3,79;101.999;Contemporary Fiction;1.079,39 Ä;647.634,00 Ä;Penguin;Ja
2012;On Dublin Street;Samantha Young;eng;Intermediate;4,24;136.761;Romance;3.905,78 Ä;2.343.468,00 Ä;Random;Nein
2008;Crazy Love: Overwhelmed by a Relentless God;Francis Chan, Danae Yankoski, Chris Tomlin;eng;Intermediate;4,15;106.351;Christian Non-fiction / Spirituality;1.064,44 Ä;638.664,00 Ä;Macmillan;Nein
1960;One Fish, Two Fish, Red Fish, Blue Fish;Dr, Seuss;en;Intermediate;4,12;117.582;Childrenís Literature;706,45 Ä;423,87 Ä;Simon and Schuster Digital Sales Inc;Nein
1987;Watchers;Dean Koontz;en;Intermediate;4,16;109.595;Thriller / Horror;1.049,49 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1902;The Story of My Life;Helen Keller;eng;Intermediate;4,07;107.313;Autobiography / Memoir;347,49 Ä;208.494,00 Ä;Amazon Digital Services,  Inc,;Ja
2009;This Is Where I Leave You;Jonathan Tropper;eng;Intermediate;3,88;98.645;Contemporary Fiction;346,50 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2010;Abraham Lincoln: Vampire Hunter;Seth Grahame-Smith;en-US;Intermediate;3,7;106.336;Historical Fantasy / Horror;344,52 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1999;Fruits Basket;Natsuki Takaya, Alethea Nibley, Athena Nibley;eng;Intermediate;4,23;118.467;Manga Fantasy;1.031,55 Ä;618,93 Ä;Simon and Schuster Digital Sales Inc;Nein
1623;The Tempest;William Shakespeare;en-US;Intermediate;3,8;125.178;Classic Drama;1.025,57 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2010;Burned: A House of Night Novel;P,C, Cast, Kristin Cast;eng;Intermediate;3,98;120.763;Young Adult Fantasy;1.019,59 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1997;Wizard and Glass;Stephen King, Dave McKean;eng;Intermediate;4,24;105.026;Horror / Dark Fantasy;1.019,59 Ä;611.754,00 Ä;Simon and Schuster Digital Sales Inc;Ja
2013;The Circle;Dave Eggers;eng;Novice;3,46;109.412;Dystopian Fiction;3.872,60 Ä;2.323,56 Ä;Penguin;Ja
2007;The Invention of Hugo Cabret;Brian Selznick;eng;Intermediate;4,23;132.159;Childrenís Literature / Illustrated Novel;1.686,62 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1932;Brave New World/Brave New World Revisited;Aldous Huxley, Christopher Hitchens;eng;Intermediate;4,16;108.124;Dystopian / Science Fiction;1.676,64 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2003;Ouran High School;Bisco Hatori;eng;Excellent;4,36;190.300;Manga Fantasy;666,65 Ä;399,99 Ä;Harper;Ja
2014;The Good Girl;Mary Kubica;eng;Intermediate;3,81;100.936;Psychological Thriller / Suspense;2.620,72 Ä;1.572.432,00 Ä;Random;Ja
2012;Fallen Too Far (Too Far, #1);Abbi Glines;eng;Excellent;4,21;138.871;New Adult Romance;2.875,32 Ä;1.725.192,00 Ä;Penguin;Nein
2014;Landline;Rainbow Rowell;eng;Intermediate;3,55;113.805;Contemporary Romance;1.300,74 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2008;Tempted;P,C, Cast, Kristin Cast;eng;Intermediate;3,96;127.387;Young Adult Paranormal Romance;2.759,25 Ä;1.655,55 Ä;Harper;Nein
2005;No Country for Old Men;Cormac McCarthy;eng;Excellent;4,12;100.513;Literary Fiction / Crime;1.611,77 Ä;967.062,00 Ä;Simon and Schuster Digital Sales Inc;Ja
2009;Wolf Hall;Hilary Mantel;eng;Intermediate;3,85;102.936;Historical Fiction;2.468,49 Ä;1.481.094,00 Ä;Penguin;Ja
1986;Howl's Moving Castle;Diana Wynne Jones;eng;Excellent;4,3;123.945;Fantasy;950,82 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2001;Dreamcatcher;Stephen King, William Olivier Desmond;fre;Intermediate;3,59;115.855;Horror / Supernatural Thriller;1.576,84 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1989;The Remains of the Day;Kazuo Ishiguro;eng;Excellent;4,1;105.892;Literary Fiction;1.874,87 Ä;1.124.922,00 Ä;Random;Ja
2010;The Best of Me;Nicholas Sparks;en-US;Intermediate;3,91;103.915;Romance;307,89 Ä;184.734,00 Ä;Amazon Digital Services,  Inc,;Ja
2011;The Sense of an Ending;Julian Barnes;eng;Intermediate;3,7;94.968;Literary Fiction;306,90 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1982;A is for Alibi;Sue Grafton;en-US;Intermediate;3,82;116.026;Mystery / Cozy Mystery;616,90 Ä;370,14 Ä;Amazon Digital Services,  Inc,;Ja
-430;Antigone;Sophocles, J,E, Thomas;eng;Intermediate;3,67;119.496;classic;2.460,92 Ä;1.476.552,00 Ä;Hachette;Nein
2009;Shanghai Girls;Lisa See;eng;Intermediate;3,87;106.729;Historical Fiction / Contemporary Fiction;2.152,92 Ä;1.291.752,00 Ä;Penguin;Ja
1908;The Wind in the Willows;Kenneth Grahame, Gillian Avery;eng;Intermediate;3,98;124.612;Childrenís Classic / Animal Fiction;10.327,30 Ä;6.196,38 Ä;Penguin;Ja
2014;To All the Boys I've Loved Before;Jenny Han;eng;Excellent;4,11;136.938;Young Adult Romance;598,99 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2000;Persepolis;Marjane Satrapi, Mattias Ripa;eng;Excellent;4,23;117.103;Graphic Memoir / Autobiography;1.487,02 Ä;892.212,00 Ä;Random;Ja
1908;A Room with a View;E,M, Forster;eng;Intermediate;3,91;109.994;Classic Literary Fiction;891,02 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2010;The DUFF: Designated Ugly Fat Friend;Kody Keplinger;en-US;Intermediate;3,86;136.736;Young Adult Contemporary;1.181,04 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2008;Lock and Key;Sarah Dessen;eng;Excellent;4,01;120.475;Young Adult Contemporary;885,04 Ä;531.024,00 Ä;Amazon Digital Services,  Inc,;Nein
1995;Naked in Death;J,D, Robb;en-US;Excellent;4,13;78.028;Romantic Suspense / Crime Thriller;1.772,95 Ä;1.063,77 Ä;Harper;Nein
1994;The Chamber;John Grisham;eng;Intermediate;3,76;102.715;Legal Thriller;292,05 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2008;Midnight Sun (Partial Draft);Stephenie Meyer;eng;Excellent;4,03;138.118;Young Adult Paranormal Romance;290,07 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1999;NARUTO ;Masashi Kishimoto, Katy Bridges;eng;Excellent;4,35;104.633;Fantasy comics;288,09 Ä;172.854,00 Ä;Harper;Ja
2012;The Unlikely Pilgrimage of Harold Fry;Rachel Joyce;eng;Intermediate;3,89;94.012;Contemporary Fiction;3.694,60 Ä;2.216,76 Ä;Hachette;Ja
2012;Every Day;David Levithan;eng;Intermediate;3,99;121.863;Young Adult Fantasy/Romance;1.149,12 Ä;689.472,00 Ä;Amazon Digital Services,  Inc,;Ja
1991;Xenocide;Orson Scott Card;eng;Intermediate;3,77;104.467;Science Fiction;1.707,15 Ä;1.024,29 Ä;Simon and Schuster Digital Sales Inc;Ja
1596;The Merchant of Venice;William Shakespeare, Robert          Jackson, Barbara A, Mowat, Paul Werstine;eng;Intermediate;3,78;115.621;Classic Drama;427,50 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1975;Shogun;James Clavell;eng;Excellent;4,4;205.654;Historical Fiction;2.071,56 Ä;1.242.936,00 Ä;Hachette;Ja
2006;Lover Awakened (Black Dagger Brotherhood, #3);J,R, Ward;eng;Famous;4,45;134.249;Paranormal Romance;1.412,17 Ä;847.302,00 Ä;Simon and Schuster Digital Sales Inc;Nein
2015;A Court of Thorns and Roses;Sarah J, Maas;eng;Excellent;4,29;167.848;Young Adult Fantasy/Romance;3.650,19 Ä;2.190.114,00 Ä;Amazon Digital Services,  Inc,;Ja
1989;Chicka Chicka Boom Boom;Bill Martin Jr,, John Archambault, Lois Ehlert;eng;Excellent;4,21;105.192;Childrenís Picture Book;1.097,25 Ä;658,35 Ä;Simon and Schuster Digital Sales Inc;Ja
2009;Smile;Raina Telgemeier;eng;Excellent;4,19;98.628;Graphic Novel / Memoir;2.618,07 Ä;1.570.842,00 Ä;Harper;Nein
1950; Animal Farm & 1984;George Orwell, Christopher Hitchens;eng;Excellent;4,26;116.197;Dystopian / Political Fiction;267,30 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1996;The Deep End of the Ocean;Jacquelyn Mitchard;en-US;Intermediate;3,84;102.733;Contemporary Fiction / Family Drama;267,30 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2001;The Bonesetter's Daughter;Amy Tan;en-US;Intermediate;3,98;99.926;Historical Fiction;263,34 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1999;Angus, Thongs and Full-Frontal Snogging;Louise Rennison;eng;Intermediate;3,74;112.733;Young Adult / Humor;997,50 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2012;Mr, Penumbra's 24-Hour Bookstore;Robin Sloan;eng;Intermediate;3,75;110.552;Contemporary Fantasy / Magical Realism;1.719,85 Ä;1.031,91 Ä;Hachette;Nein
1979;Flowers in the Attic;V,C, Andrews;eng;Intermediate;3,79;109.063;Gothic Fiction / Thriller;1.877,82 Ä;1.126.692,00 Ä;Amazon Digital Services,  Inc,;Ja
2016;When Breath Becomes Air;Paul Kalanithi, Abraham Verghese;eng;Excellent;4,32;116.771;Memoir / Biography;1.041,39 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1990;Maniac Magee;Jerry Spinelli;eng;Intermediate;3,86;99.831;Childrenís / Middle Grade;777,40 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1999;Invisible Monsters;Chuck Palahniuk;eng;Intermediate;4;54.937;Contemporary Fiction / Satire;771,42 Ä;462.852,00 Ä;Simon and Schuster Digital Sales Inc;Nein
2000;Gathering Blue;Lois Lowry;eng;Intermediate;3,8;114.917;Childrenís / Middle Grade;997,50 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1978;The Westing Game;Ellen Raskin;eng;Excellent;4,03;117.108;Mystery / Young Adult;997,50 Ä;598,50 Ä;Amazon Digital Services,  Inc,;Ja
2014;Red Rising;Pierce Brown;eng;Excellent;4,26;104.939;Science Fiction / Dystopian;246,51 Ä;147.906,00 Ä;Amazon Digital Services,  Inc,;Ja
2008;The Way of Shadows;Brent Weeks;en-US;Excellent;4,15;109.236;Fantasy / Epic;744,51 Ä;446.706,00 Ä;Random;Nein
1988;The Bean Trees;Barbara Kingsolver;eng;Intermediate;3,94;105.032;Literary Fiction / Contemporary;1.635,93 Ä;981.558,00 Ä;Amazon Digital Services,  Inc,;Ja
2013;Walking Disaster;Jamie McGuire;eng;Excellent;4,23;134.022;New Adult / Romance;3.221,52 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2014;Words of Radiance;Brandon Sanderson;eng;Famous;4,77;73.572;Fantasy / Epic;741,52 Ä;444.912,00 Ä;Harper;Nein
